date,season,target,lag_days,geography,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
2025-09-20,2025-2026,nhsn_rsv_admissions,4,US,1,1,1,363.0,8.264462809917354,8.264462809917354,91.73553719008265,91.73553719008265,91.73553719008265,0.0
2025-09-20,2025-2026,nhsn_rsv_admissions,4,states,51,1,51,345.0,8.405797101449275,8.405797101449275,100.0,53.571428571428584,100.0,0.0
2025-09-20,2025-2026,nhsn_rsv_admissions,11,US,1,1,1,363.0,8.264462809917354,8.264462809917354,91.73553719008265,91.73553719008265,91.73553719008265,0.0
2025-09-20,2025-2026,nhsn_rsv_admissions,11,states,51,1,51,345.0,8.405797101449275,8.405797101449275,100.0,53.571428571428584,100.0,0.0
2025-09-20,2025-2026,nssp_covid_proportion,4,US,1,1,1,0.010200000368058681,3.9215709548621747,3.9215709548621747,96.07842904513782,96.07842904513782,96.07842904513782,0.0
2025-09-20,2025-2026,nssp_covid_proportion,4,states,50,1,50,0.48119999980553985,7.107231946141809,7.813798436369201,95.76967956937949,86.36074537331251,99.30232029265187,6.0
2025-09-20,2025-2026,nssp_covid_proportion,11,US,1,1,1,0.010200000368058681,3.9215709548621747,3.9215709548621747,96.07842904513782,96.07842904513782,96.07842904513782,0.0
2025-09-20,2025-2026,nssp_covid_proportion,11,states,50,1,50,0.48119999980553985,7.107231946141809,7.813798436369201,95.76967956937949,86.36074537331251,99.30232029265187,6.0
2025-09-20,2025-2026,nssp_rsv_proportion,4,US,1,1,1,0.0003000000142492354,0.0,0.0,100.0,100.0,100.0,0.0
2025-09-20,2025-2026,nssp_rsv_proportion,4,states,50,1,50,0.013099999996484257,9.160305781061025,12.213740819248056,100.0,50.0,100.0,4.0
2025-09-20,2025-2026,nssp_rsv_proportion,11,US,1,1,1,0.0003000000142492354,0.0,0.0,100.0,100.0,100.0,0.0
2025-09-20,2025-2026,nssp_rsv_proportion,11,states,50,1,50,0.013099999996484257,9.160305781061025,12.213740819248056,100.0,50.0,100.0,4.0
2025-11-01,2025-2026,nhsn_flu_admissions,11,US,1,1,1,1358.0,6.406480117820324,6.406480117820324,93.59351988217968,93.59351988217968,93.59351988217968,0.0
2025-11-01,2025-2026,nhsn_flu_admissions,11,states,51,1,51,1271.0,6.766325727773407,6.766325727773407,100.0,81.81818181818183,100.0,0.0
2025-11-08,2025-2026,nhsn_covid_admissions,11,US,1,1,1,3329.0,4.205467107239412,4.205467107239412,95.79453289276059,95.79453289276059,95.79453289276059,0.0
2025-11-08,2025-2026,nhsn_covid_admissions,11,states,51,1,51,3300.0,4.212121212121212,5.424242424242424,97.66233766233766,82.6086956521739,100.0,3.9215686274509802
2025-11-08,2025-2026,nhsn_flu_admissions,4,US,1,1,1,1787.0,9.457190822607723,9.457190822607723,90.54280917739229,90.54280917739229,90.54280917739229,0.0
2025-11-08,2025-2026,nhsn_flu_admissions,4,states,51,1,51,1670.0,9.820359281437126,9.820359281437126,93.12485727335007,60.00000000000001,100.0,0.0
2025-11-08,2025-2026,nhsn_flu_admissions,11,US,1,1,1,1787.0,6.435366536094012,6.435366536094012,93.56463346390599,93.56463346390599,93.56463346390599,0.0
2025-11-08,2025-2026,nhsn_flu_admissions,11,states,51,1,51,1670.0,6.766467065868263,6.766467065868263,100.0,65.95238095238095,100.0,0.0
2025-11-08,2025-2026,nhsn_rsv_admissions,11,US,1,1,1,1265.0,6.007905138339921,6.007905138339921,93.99209486166008,93.99209486166008,93.99209486166008,0.0
2025-11-08,2025-2026,nhsn_rsv_admissions,11,states,51,1,51,1180.0,6.271186440677966,6.271186440677966,100.0,72.0,100.0,0.0
