date,target,age,geography,cells,weeks,locations,final_total,net_pct,absolute_pct
2026-03-28,nhsn_rsv_admissions,4,US,1,1,1,3891.0,12.284759701876125,12.284759701876125
2026-03-28,nhsn_rsv_admissions,4,states,51,1,51,3883.0,12.310069533865567,12.567602369302087
2026-03-28,nhsn_rsv_admissions,11,US,1,1,1,3891.0,5.936777178103315,5.936777178103315
2026-03-28,nhsn_rsv_admissions,11,states,51,1,51,3883.0,5.949008498583569,6.515580736543909
2026-03-28,nssp_covid_proportion,4,US,1,1,1,0.003100000089034438,3.225808389849215,3.225808389849215
2026-03-28,nssp_covid_proportion,4,states,50,1,50,0.16660000121919438,4.561825437261719,4.6818732516614245
2026-03-28,nssp_covid_proportion,11,US,1,1,1,0.003100000089034438,0.0,0.0
2026-03-28,nssp_covid_proportion,11,states,50,1,50,0.16660000121919438,1.3205284739739191,1.560624382281903
2026-03-28,nssp_flu_proportion,4,US,1,1,1,0.013500000350177288,2.9629647515110706,2.9629647515110706
2026-03-28,nssp_flu_proportion,4,states,50,1,50,0.7150000017136335,3.0769232482583755,3.412587273424165
2026-03-28,nssp_flu_proportion,11,US,1,1,1,0.013500000350177288,0.7407463618919369,0.7407463618919369
2026-03-28,nssp_flu_proportion,11,states,50,1,50,0.7150000017136335,0.5874123696773947,0.7552442520053844
2026-03-28,nssp_rsv_proportion,4,US,1,1,1,0.004100000020116568,7.31707206267392,7.31707206267392
2026-03-28,nssp_rsv_proportion,4,states,50,1,50,0.27230000018607825,6.904149644921447,6.9775979225993225
2026-03-28,nssp_rsv_proportion,11,US,1,1,1,0.004100000020116568,0.0,0.0
2026-03-28,nssp_rsv_proportion,11,states,50,1,50,0.27230000018607825,2.093279547790185,2.46052093617956
2026-04-04,nhsn_covid_admissions,4,US,1,1,1,1975.0,10.227848101265822,10.227848101265822
2026-04-04,nhsn_covid_admissions,4,states,51,1,51,1960.0,10.153061224489797,10.66326530612245
2026-04-04,nhsn_covid_admissions,11,US,1,1,1,1975.0,5.7215189873417724,5.7215189873417724
2026-04-04,nhsn_covid_admissions,11,states,51,1,51,1960.0,5.663265306122449,5.663265306122449
2026-04-04,nhsn_flu_admissions,4,US,1,1,1,2901.0,12.20268872802482,12.20268872802482
2026-04-04,nhsn_flu_admissions,4,states,51,1,51,2788.0,12.625538020086083,13.629842180774748
2026-04-04,nhsn_flu_admissions,11,US,1,1,1,2901.0,8.89348500517063,8.89348500517063
2026-04-04,nhsn_flu_admissions,11,states,51,1,51,2788.0,9.253945480631277,9.253945480631277
2026-04-04,nhsn_rsv_admissions,4,US,1,1,1,3187.0,12.582365861311578,12.582365861311578
2026-04-04,nhsn_rsv_admissions,4,states,51,1,51,3170.0,12.618296529968454,13.249211356466876
2026-04-04,nhsn_rsv_admissions,11,US,1,1,1,3187.0,8.283652337621588,8.283652337621588
