config_id,seed,geography,wk inc flu hosp,wk inc covid hosp,wk inc rsv hosp,wk inc flu prop ed visits,wk inc covid prop ed visits,wk inc rsv prop ed visits,combined,horizon
B1 B gap-only,44,all,0.9324353210685736,0.963552848330832,1.2073392423488323,0.747607515719695,0.824823189039362,0.6777992781697564,0.9396538673805878,3
B1 B no-mask,42,all,0.9596843937760594,0.888541604734821,0.7861761075144768,0.9748578663157247,1.1059428421694453,0.6009612169538285,0.8833962374988569,3
B1 B no-mask,43,all,0.8490751753160916,0.9142099506586782,0.9622053813884494,0.8681192705608657,1.0260702005091789,0.665592360587087,0.8900847607092854,3
B1 B no-mask,44,all,0.9011572759790231,1.009974906227572,0.8747271221851421,0.8139848886452771,0.9368668102459404,0.6695156367363501,0.8880095493790047,3
B1 gated 0.20,42,all,0.798673113449184,0.9731020784042337,0.818478750288808,0.8842079623700616,1.0918516299755028,0.7336295439580062,0.8766885578431136,3
B1 gated 0.20,43,all,1.0228212489168444,0.9275710946617152,1.0328393090688426,0.777522304325621,1.089012258146171,0.6965011138761614,0.9477221090714174,3
B1 gated 0.20,44,all,0.8578528601463224,0.9183054581432238,0.7961938600211252,0.8355838801996567,1.0577614323906244,0.6926569742733404,0.8589674048316627,3
B1 joint two-stage,42,all,1.075986998889059,1.1514472658939328,0.8830858425026427,1.2386732853565567,1.1599087920961992,0.6678873467637997,1.0319455154208694,3
B1 joint two-stage,43,all,1.0909655715913997,1.0045457129284738,0.8656173337532215,1.048980787395615,2.7103229611413986,0.7439781936164629,1.1583932420777407,3
B1 joint two-stage,44,all,1.2049966612798289,0.9659384657125047,0.6953585027589074,0.7863966404949148,1.1563780719207868,0.7091247519115695,0.9316096359810836,3
Forward Direct B,42,all,0.9690161462926556,1.1162807590074821,1.507245426404945,1.1223538103565422,1.4809291185877367,0.9654809843818953,1.1948720640818153,3
Forward Direct B,43,all,0.8850751179637075,1.0722167519243668,1.209859575452689,1.1787372300274253,1.1879044982656053,0.6860637884229401,1.0430009341552777,3
Forward Direct B,44,all,1.0050513467932995,1.1174720000980116,1.637280445454881,1.09182623017113,1.2343487642928879,1.3239107892069801,1.2410770409292649,3
Forward Joint gated,42,all,1.027302626698384,1.2840868590450756,1.4512261854675172,1.1502198562159744,1.7939572353882702,0.673263839108571,1.2380746970149743,3
Forward Joint gated,43,all,1.1004173321351332,1.0379137565607912,1.478109024518034,1.161554025291211,1.4698184090594144,0.8365488793401784,1.18897794890208,3
Forward Joint gated,44,all,1.253111486439143,1.0464268782271196,1.4332800302132422,1.0124771607703094,1.5309018042806968,0.9322513950597245,1.215696349985527,3
Forward Separate,42,all,0.9777566140417642,0.9868744119861791,1.2320182823786139,0.9915413034585142,0.9839454622526959,0.6932652097349952,1.0068945102510356,3
Forward Separate,43,all,0.8961983280698799,0.9411153120546157,1.151819871986314,0.8947389256753153,0.8739076563111765,0.8482382198253217,0.9550168695592701,3
Forward Separate,44,all,0.8825043973347243,0.8907509887206407,1.2673525078202783,0.8942764968008355,0.9710836828584112,1.1393275677809027,1.009544837243493,3
