candidate,seed,target,season,geography,location,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,23,0.000435484716633075,0.04962789059848343,0.2961165048543689,0.5388349514563107,0.6310679611650486,0.7184466019417476
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,24,0.0004025158698704616,0.031142427238029846,0.3737864077669903,0.6407766990291263,0.7912621359223301,0.8689320388349514
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,25,0.0007685205498889325,0.05528924579887945,0.34951456310679613,0.5339805825242718,0.6796116504854369,0.7427184466019418
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,26,0.00041747605415835083,0.03523004569676015,0.46116504854368934,0.7184466019417476,0.8106796116504854,0.883495145631068
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,27,0.0004684546403553617,0.03208593556117802,0.3446601941747573,0.7135922330097088,0.8543689320388349,0.9077669902912622
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,28,0.00047972589090340163,0.041355680776228754,0.32524271844660196,0.6407766990291263,0.7427184466019418,0.8300970873786407
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,29,0.0016975379356557042,0.13472523281328458,0.20388349514563106,0.3737864077669903,0.5097087378640777,0.5679611650485437
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,30,0.0005019319819649454,0.03861015166222275,0.33980582524271846,0.5631067961165048,0.6456310679611651,0.6990291262135923
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,31,0.00039516474630724326,0.05747850886523412,0.27184466019417475,0.6116504854368932,0.7233009708737864,0.7961165048543689
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,32,0.00034513841658519905,0.04060451739158951,0.44660194174757284,0.6941747572815534,0.7961165048543689,0.8592233009708737
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,33,0.0005433781570325034,0.041878856533530386,0.3786407766990291,0.6067961165048543,0.7233009708737864,0.7815533980582524
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,34,0.00046552638665032034,0.04992240325001575,0.4854368932038835,0.7281553398058253,0.8252427184466019,0.8543689320388349
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,35,0.00036104239775201855,0.019648565879989383,0.4320388349514563,0.6893203883495146,0.7961165048543689,0.8592233009708737
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,36,0.0004073521289010026,0.047504622172629046,0.49514563106796117,0.7621359223300971,0.7961165048543689,0.8349514563106796
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,37,0.0006162096464998989,0.04114922466691904,0.4077669902912621,0.6844660194174758,0.7621359223300971,0.8300970873786407
