candidate,seed,target,season,geography,horizon,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,43,wk inc covid prop ed visits,2025-2026,states_dc,3,0.0019062454935244917,0.06394769937324614,0.1815686274509804,0.35019607843137257,0.44666666666666666,0.5113725490196078
direct,43,wk inc flu hosp,2025-2026,US,0,754.5801307866418,0.01979642175712712,0.7142857142857143,0.9591836734693877,1.0,1.0
direct,43,wk inc flu hosp,2025-2026,US,1,1407.341141473936,0.03692161727573008,0.5208333333333334,0.9166666666666666,0.9375,0.9375
direct,43,wk inc flu hosp,2025-2026,US,2,1911.053303099852,0.05013651386377756,0.40425531914893614,0.8085106382978723,0.9148936170212766,0.9361702127659575
direct,43,wk inc flu hosp,2025-2026,US,3,2198.2012002133692,0.05766984352090132,0.43478260869565216,0.717391304347826,0.8478260869565217,0.9130434782608695
direct,43,wk inc flu hosp,2025-2026,states_dc,0,20.679188708466445,0.03457880493634688,0.4913965586234494,0.7346938775510204,0.8063225290116046,0.8363345338135254
direct,43,wk inc flu hosp,2025-2026,states_dc,1,33.71788586644682,0.05436226248164661,0.4562908496732026,0.7001633986928104,0.7847222222222222,0.8186274509803921
direct,43,wk inc flu hosp,2025-2026,states_dc,2,44.389167081601926,0.07106998383756122,0.43763037129745513,0.689194826866917,0.7622027534418022,0.804755944931164
direct,43,wk inc flu hosp,2025-2026,states_dc,3,52.56029202614821,0.08464385789687517,0.41261722080136404,0.670076726342711,0.7493606138107417,0.7953964194373402
direct,43,wk inc flu prop ed visits,2025-2026,US,0,0.002552377371073675,0.04582366620105493,0.46938775510204084,0.6530612244897959,0.7142857142857143,0.8367346938775511
direct,43,wk inc flu prop ed visits,2025-2026,US,1,0.004493585886490452,0.08067481793324764,0.2916666666666667,0.5625,0.625,0.6875
direct,43,wk inc flu prop ed visits,2025-2026,US,2,0.005921050620197028,0.10630255943121902,0.2127659574468085,0.48936170212765956,0.574468085106383,0.6382978723404256
direct,43,wk inc flu prop ed visits,2025-2026,US,3,0.006332625868643431,0.1136917045533961,0.2608695652173913,0.45652173913043476,0.5217391304347826,0.6086956521739131
direct,43,wk inc flu prop ed visits,2025-2026,states_dc,0,0.0034038319640444584,0.0575695331165317,0.3161264505802321,0.5334133653461385,0.636654661864746,0.7026810724289716
