target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,states_dc,15,1,44,94.2104347826087,35.42782608695652,32.73913043478261,26.043478260869566,136.0,20.0,34.0,35.0,38.0,121.02036241370163,61.53561131728579,12.01457548293886,47.47017561347698,165.94411882306488,24.0,36.0,38.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,15,2,43,100.55347826086957,40.07521739130435,26.0,34.47826086956522,161.0,18.0,32.0,36.0,36.0,168.51543512867215,75.88952330537028,10.53514061945569,82.0907712038462,242.19671120758505,26.0,34.0,36.0,39.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,15,3,42,104.51347826086956,42.47,25.65217391304348,36.391304347826086,157.0,24.0,31.0,35.0,36.0,200.14103938133118,88.3348727314927,12.865373180216775,98.94079346962171,303.83552980024285,26.0,34.0,35.0,37.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,16,0,45,238.13304347826087,33.82869565217391,179.3913043478261,24.913043478260867,309.0,14.0,20.0,22.0,25.0,210.81049772784306,43.551220063474446,144.23331480421456,23.02596286015406,309.1404351030946,13.0,24.0,27.0,35.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,16,1,44,220.18521739130435,39.92434782608696,143.7826086956522,36.47826086956522,308.0,13.0,21.0,27.0,31.0,191.68143429201143,56.656567084501035,102.40815432061561,32.61671288689478,306.93366169764397,15.0,25.0,33.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,16,2,43,188.53217391304347,45.79304347826087,106.30434782608695,36.43478260869565,281.0,13.0,22.0,27.0,33.0,183.514209202188,68.14315080364078,87.67172048863074,27.69933790991647,302.1018271483311,14.0,30.0,37.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,16,3,42,183.2795652173913,52.01869565217392,96.30434782608697,34.95652173913044,273.0,14.0,24.0,29.0,31.0,169.83684754549807,77.63642214831467,66.35722052791772,25.843204869265683,270.92849287797145,19.0,35.0,38.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,17,0,45,894.2204347826087,341.87260869565216,456.60869565217394,95.73913043478261,1406.0,22.0,34.0,37.0,41.0,1041.7235782881053,365.1385163931054,585.4331873571557,91.1518745378443,1523.1958358807747,22.0,38.0,41.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,17,1,44,1352.6030434782608,381.2117391304348,703.5217391304348,267.8695652173913,2006.0,20.0,30.0,36.0,37.0,1531.169672101864,502.8961754179637,768.32934139279,259.94415529111046,2435.5442996686465,20.0,36.0,40.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,17,2,43,1848.6395652173912,424.0308695652174,861.3478260869565,563.2608695652174,2698.0,17.0,28.0,34.0,38.0,2092.7997759182085,643.2378507793194,905.1798026904678,544.3821224484215,3274.2997571886003,19.0,31.0,36.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,17,3,42,2352.7634782608698,468.41565217391303,988.391304347826,895.9565217391304,3426.0,13.0,22.0,25.0,33.0,2469.6009536476895,778.2036844908374,1006.4656712851787,684.9315978716733,3841.622766530379,15.0,27.0,31.0,39.0,B1 B gap-only,43
