candidate,seed,target,kind,age_days,n,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95
joint,43,wk inc flu prop ed visits,revision,11,2194,0.0003151300317938545,0.00044028583093114247,0.0054710668773462375,0.007609815495871755,0.00026531834155321123,0.004672226728871465,0.17088663290693673,0.5068999448004416,0.6689178486572108,0.7639522883816929
joint,43,wk inc rsv hosp,reconstruction,4,416,38.90602395269377,65.02451211680534,0.02453073776250059,0.03441646110870323,,,0.23970588235294119,0.42843137254901964,0.49068627450980395,0.5607843137254902
joint,43,wk inc rsv hosp,reconstruction,11,312,26.081017445631776,42.390755621271126,0.016585160779697492,0.023104158752361083,,,0.25163398692810457,0.4437908496732027,0.5320261437908498,0.5738562091503268
joint,43,wk inc rsv hosp,revision,4,2340,29.941467757320215,42.58406897113309,0.0200058078908383,0.02710060133571881,67.75555648803712,0.03174244090914726,0.36583877995642705,0.595119825708061,0.6981263616557736,0.7477124183006537
joint,43,wk inc rsv hosp,revision,11,2444,17.514667759547883,23.37265026008037,0.010053724807661854,0.012759755489223583,27.22019195556641,0.011949521116912366,0.4644972882770129,0.6212765957446809,0.6876929495202337,0.7353358364622445
joint,43,wk inc rsv prop ed visits,reconstruction,4,510,0.00019986779306230515,0.0002741984862543177,0.018389521941701938,0.025327057987245397,,,0.30400000000000005,0.5016,0.5576000000000001,0.656
joint,43,wk inc rsv prop ed visits,reconstruction,11,306,0.00018520396458662235,0.00024891864630626517,0.01704467888207233,0.02324239600989278,,,0.252,0.4706666666666667,0.5373333333333333,0.5666666666666668
joint,43,wk inc rsv prop ed visits,revision,4,2201,0.000131795005149396,0.0001815617864158694,0.011162517423398145,0.015378458124266928,0.00024230277340393515,0.02110244520008564,0.38682170542635663,0.6451892384860922,0.7347469220246239,0.7894208846329229
joint,43,wk inc rsv prop ed visits,revision,11,2405,0.0001382835270186664,0.0002081675876609392,0.012232862276342321,0.01857115000795673,9.372131316922606e-05,0.008121032547205687,0.2869837296620776,0.5730079265748852,0.7522319566124323,0.8611180642469753
joint,44,wk inc covid hosp,reconstruction,4,416,527.4556627073201,785.8923102509742,0.07118046460641887,0.10690599782960589,,,0.3303921568627451,0.592156862745098,0.717156862745098,0.7779411764705882
joint,44,wk inc covid hosp,reconstruction,11,312,518.0293041480369,743.591936132643,0.06852288291143115,0.10017743083511645,,,0.4196078431372549,0.64640522875817,0.7581699346405228,0.8130718954248367
joint,44,wk inc covid hosp,revision,4,2340,21.30127845114429,27.310273082792698,0.009661213060956738,0.013703550589503826,103.16523132324218,0.01844825632870197,0.6023529411764706,0.880087145969499,0.9180827886710241,0.9358605664488018
