candidate,seed,target,season,kind,age_days,geography,location,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95,n,denominator_near_zero,mae_ratio,wis_ratio
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MI,36.46836026509603,56.20120493570963,0.034871263220395514,0.05373992678503451,,,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MN,31.123553260029226,50.322898864746094,0.061266837126041786,0.09906082453690175,,,0.16666666666666666,0.5,0.5,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MO,25.081143853284313,41.494433085123696,0.03436244308671276,0.05684948436338013,,,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MS,6.7398442695451815,11.19360605875651,0.038447488527523534,0.06385400364075487,,,0.6666666666666666,0.8333333333333334,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MT,3.977188188649606,6.209152698516846,0.031193638451884942,0.04869924559336564,,,0.5,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NC,104.67785339244898,158.26712544759116,0.14699881615122493,0.22225408071017574,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,ND,8.050513353209565,12.539276440938314,0.0928548694199804,0.14462840137767982,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NE,18.63076432628908,29.01791826883952,0.08796399809082624,0.13700630111015796,,,0.0,0.16666666666666666,0.5,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NH,3.945769916444585,5.630978902180989,0.03290885633717134,0.0469639841282214,,,0.8333333333333334,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NJ,50.75736468384232,77.42647806803386,0.055057367244509596,0.083985803124206,,,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NM,6.8876569493611655,9.762097358703613,0.04528376606721629,0.06418213572003266,,,0.8333333333333334,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NV,7.4726825683358795,11.546805063883463,0.03597825866676355,0.05559368213008534,,,0.5,0.6666666666666666,0.8333333333333334,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,NY,99.52141139928845,141.56532287597656,0.04180345052967438,0.05946377657185817,,,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,OH,51.42029016190681,86.56844075520833,0.03905833264699558,0.06575651255763491,,,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,OK,15.958056095372074,27.003103892008465,0.04088665535619665,0.06918553210878284,,,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0,6,False,,
