label,target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std
anchor,wk inc covid prop ed visits,2025-2026,US,0,0.00016628798572580002,2.4121925609360644e-05,1.2688300772487817,0.18405794381804955,0.34022988505747126,0.14274293322657913,0.6781609195402298,0.162959159525952,1.0,0.0,9.627193632418251e-05,1.8494714510136268e-05,9.919283970038386e-06,6.5884615400372656e-06,6.009676543158805e-05,2.7358571196521662e-05
anchor,wk inc covid prop ed visits,2025-2026,US,1,0.00025568807514173334,1.380217088810841e-05,1.398609679595361,0.0754976539005676,0.36904761904761907,0.09035667231196878,0.5,0.12876968840942823,1.0,0.0,0.0001229790395267,1.8324913603088292e-05,2.610282080248048e-05,9.213102396979852e-06,0.00010660621481254739,2.654368782282918e-05
anchor,wk inc covid prop ed visits,2025-2026,US,2,0.0003429898111314334,2.9066962031872213e-06,1.3778424952911028,0.011676642919513876,0.39753086419753086,0.03534725506721083,0.38271604938271603,0.07709874072096788,0.9753086419753086,0.04276668660663886,0.00014982757796286667,1.993866876924418e-05,4.413772232301729e-05,9.14743773062887e-06,0.0001490245108455,1.3693689519643707e-05
anchor,wk inc covid prop ed visits,2025-2026,US,3,0.0004248496374579666,2.7182738072353345e-05,1.3202162787162084,0.0844701045714443,0.41410256410256413,0.02074190985559418,0.37179487179487175,0.044411559168432785,0.9615384615384616,0.06661733875264916,0.00017352527476526667,2.496734492662943e-05,6.133278041648103e-05,1.3324893379070735e-05,0.00018999158227616666,1.0653412393217495e-05
anchor,wk inc covid prop ed visits,2025-2026,US,all,0.0002935312105861333,6.9216159343042935e-06,1.344929352192775,0.03171412135730249,0.3790909090909089,0.061652518665917,0.48787878787878786,0.1021800927278022,0.9848484848484849,0.026243194054073875,0.00013447546371856667,1.978977573489325e-05,3.459008191955036e-05,8.415356484958794e-06,0.00012446566494793334,1.4624355962806781e-05
anchor,wk inc covid prop ed visits,2025-2026,states_dc,0,0.0003080573171131,9.24056756609982e-06,1.0679614151006402,0.03203484892586087,0.1596382783882784,0.09894328439946952,0.4237637362637363,0.07764634950280783,0.8266941391941391,0.06335207922171111,0.00011150955615038155,2.2342266226339626e-05,7.737748365406454e-05,1.5989704095927967e-05,0.00011917027730858026,2.622720122247433e-05
anchor,wk inc covid prop ed visits,2025-2026,states_dc,1,0.00039806333602506665,6.972986292221454e-06,1.0356310194553753,0.018141436924526487,0.21495848161328582,0.042876468215311575,0.400711743772242,0.05803658400539839,0.8213523131672598,0.054730273101678176,0.00013913135638503335,2.3011788696508483e-05,8.323943673614385e-05,1.111368022222915e-05,0.00017569254290383332,2.2350233728294004e-05
anchor,wk inc covid prop ed visits,2025-2026,states_dc,2,0.00047962604114353333,4.605254151783509e-06,1.044782785965018,0.010031753595645544,0.2770442610652663,0.007887768112992851,0.3913478369592398,0.044269541150206315,0.8044511127781946,0.041797857855030436,0.00016432900449423336,2.5606968177371027e-05,9.129150416964332e-05,1.0556234118727536e-05,0.00022400553247953333,1.1074102927546568e-05
anchor,wk inc covid prop ed visits,2025-2026,states_dc,3,0.000565373914573,2.3325838560759308e-05,1.0429715203938112,0.043030257818939634,0.30737129485179404,0.030589234603120893,0.3744149765990639,0.03111337078811097,0.7714508580343215,0.04836193447737906,0.000186465170075,3.1601526382475786e-05,9.450557029688174e-05,1.4577092008982337e-05,0.0002844031742010667,1.2935547702998647e-05
anchor,wk inc covid prop ed visits,2025-2026,states_dc,all,0.0004331558276403666,3.620202046642225e-06,1.0463416186706431,0.008745046996208462,0.23699780861943018,0.031844992189120055,0.3984051619186754,0.05329492226432327,0.8069758948137326,0.05220970275453295,0.00014900226086613335,2.5036185900327046e-05,8.627844064889689e-05,1.0776635217845248e-05,0.0001978751261253,1.3630226279992387e-05
