target,season,model,geography,horizon,n,wis,ae_median,interval_coverage_50,interval_coverage_95,underprediction,dispersion,overprediction,bias,rwis,rwis_n,wis_ratio,rank
wk inc flu hosp,2024-2025,B0-323fbd9b1c6f-s43,states_dc,all,5508,75.88693757696315,118.4217501815541,0.4615105301379811,0.90159767610748,27.19592845189605,29.68062107290582,19.010388052161282,0.030691721132897625,1.1750884821777468,5508,0.7661907669098911,3.0
wk inc flu hosp,2024-2025,B0-323fbd9b1c6f-s44,states_dc,all,5508,79.19770681380442,121.83932461873638,0.47185911401597674,0.9010530137981119,27.860732215591547,28.457984354772506,22.87899024344037,0.03975490196078431,1.2788062255515744,5508,0.7996178744152431,5.0
wk inc flu hosp,2024-2025,B0-41878487e0fd-s42,states_dc,all,5508,96.38777730415838,134.5025417574437,0.3778140885984023,0.7895787944807553,69.50697009882859,20.26875674907644,6.612050456253354,-0.25551016702977486,1.1865551865234718,5508,0.973177036410438,12.0
wk inc flu hosp,2024-2025,B0-4d0946a0dfcf-s42,states_dc,all,5508,80.08288363171356,117.13725490196079,0.32679738562091504,0.7251270878721859,47.307292160020204,18.687664030185342,14.087927441508002,-0.08044117647058821,1.1868326337001422,5508,0.8085550423471659,6.0
wk inc flu hosp,2024-2025,B0-8afe05f2b10e-s42,states_dc,all,5508,115.10030209024026,143.0749818445897,0.24255628177196806,0.5646332607116921,88.32660793786114,11.029030264279626,15.74466388809952,-0.21205337690631804,1.1750962888709104,5508,1.1621076241301984,16.0
wk inc flu hosp,2024-2025,B0-96f18bffffa1-s42,states_dc,all,5508,81.14616336711819,119.68754538852578,0.35929557007988383,0.7721496005809731,48.87636954943008,20.479899276941048,11.789894540747055,-0.11699164851125633,1.1756281013085856,5508,0.8192904223996709,8.0
wk inc flu hosp,2024-2025,B0-96f18bffffa1-s43,states_dc,all,5508,81.05605917085029,117.8578431372549,0.4181190994916485,0.8251633986928104,41.24952638060055,26.880196394177638,12.926336396072116,-0.04413398692810459,1.2499041058991396,5508,0.8183806873985676,7.0
wk inc flu hosp,2024-2025,B0-96f18bffffa1-s44,states_dc,all,5508,104.62467588645764,152.17374727668846,0.32570806100217864,0.7605301379811183,78.24479808026271,20.73898392851504,5.640893877679897,-0.32992374727668844,1.3894150652098072,5508,1.0563406986063242,15.0
wk inc flu hosp,2024-2025,B0-b1e265a36c11-s42,states_dc,all,5508,86.45933598560197,124.30301379811183,0.37490922294843865,0.7814088598402323,49.49375611758392,22.96916358814057,13.99641627987749,-0.03854030501089326,1.2955015227296116,5508,0.8729347508343516,10.0
wk inc flu hosp,2024-2025,B0-c20800f1557e-s42,states_dc,all,5508,87.15116336711819,126.69843863471314,0.36147421931735657,0.7824981844589688,58.30186132423984,19.271249565848887,9.57805247702946,-0.14876361655773424,1.150242937004115,5508,0.8799197705088586,11.0
wk inc flu hosp,2024-2025,B0-fa4e4645314c-s42,states_dc,all,5508,84.73365160556976,124.19371822803195,0.3380537400145243,0.7663398692810458,53.635313062423045,18.67346247355625,12.424876069590479,-0.10816448801742917,1.1556321910302834,5508,0.8555114171118602,9.0
