target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std,candidate,control
wk inc rsv hosp,2025-2026,US,2,130.08379310344844,78.94975880933598,0.1774267307111684,0.10768288087076394,-0.06321839080459778,0.05862914070252487,-0.011494252873563196,0.01990862997205602,-0.28735632183908055,0.21069313540026854,-47.34149425287357,11.38203432565583,178.8942528735632,92.20130933303979,-1.468965517241377,6.516084553414981,state_us,anchor
wk inc rsv hosp,2025-2026,US,3,172.44264367816126,103.10095317551439,0.18776449019684485,0.11226166277025647,-0.040804597701149505,0.03817839926492494,-0.0804597701149425,0.01990862997205603,-0.25287356321839083,0.13936040980439243,-62.460804597701156,14.114631470981955,231.4114942528737,115.86768425089993,3.491954022988509,1.625310117059244,state_us,anchor
wk inc rsv hosp,2025-2026,US,all,120.06643678160917,70.19084219885471,0.19324140044513707,0.11296892794113399,-0.09094827586206904,0.05686388822082917,-0.0574712643678161,0.051963049770187064,-0.22701149425287362,0.12796232228857654,-41.40885057471265,10.852651991527578,163.38045977011492,79.44071190071813,-1.9051724137931139,3.2514073601505156,state_us,anchor
wk inc rsv hosp,2025-2026,states_dc,0,-0.8414221320712194,0.7085362655513155,-0.08395340958039392,0.07069464070070067,0.0860942077980618,0.1028731262383983,0.06513409961685823,0.024003498099741803,0.06693711967545642,0.02403838922871015,0.5351386071670051,0.12341484706652744,-1.4880775298625197,1.1238793990251839,0.11151679062429591,0.37931032875788806,state_us,anchor
wk inc rsv hosp,2025-2026,states_dc,1,-0.5676109984223595,1.0836915015487791,-0.04457722751450666,0.08510751686339109,0.034640522875816926,0.0689874742431502,0.041920216362407024,0.02459301349489278,0.05003380662609869,0.027539434556343934,0.5170407933288262,0.18250192207955374,-1.0061753437007017,1.4823892227692392,-0.07847644805048463,0.3357835667681208,state_us,anchor
wk inc rsv hosp,2025-2026,states_dc,2,0.1046360153256695,1.1977973365468935,0.006301657971287344,0.07213681742700828,0.007798061753436947,0.05450729387624437,0.03560964615731351,0.02073350575994042,0.045977011494252894,0.03707648376160974,0.4612283074149202,0.2474720102473363,-0.18129366689204454,1.5813690179311428,-0.17529862519720552,0.2797995954775696,state_us,anchor
wk inc rsv hosp,2025-2026,states_dc,3,0.8061460446247489,1.2056413327241022,0.04082320805912576,0.061053635750812685,-0.017038539553752508,0.03745430902810586,0.024791525805724562,0.019318152548207977,0.0441739914356547,0.037525862573139356,0.380182555780933,0.3007602705128106,0.6575163398692805,1.5713984078419183,-0.23155285102546766,0.21348305226452158,state_us,anchor
wk inc rsv hosp,2025-2026,states_dc,all,-0.12456276763579055,1.0428191910075044,-0.008429579440288845,0.07057106532955468,0.027873563218390813,0.0653029671534977,0.04186387198557586,0.021979724025005126,0.05178048230786566,0.03121870014799591,0.47339756592292065,0.20963025278071173,-0.5045075501464981,1.434844565605238,-0.09345278341221559,0.2909223317819912,state_us,anchor
wk inc rsv prop ed visits,2025-2026,US,0,3.7548821362999973e-06,0.00011738731554853689,0.02090009166805462,0.653390856640017,0.33908045977011486,0.1794291162786282,-0.5747126436781609,0.0867797061525373,-0.6436781609195402,0.15549137078699637,-0.00010231554945309568,1.3672453299216621e-05,-6.712437323349191e-06,0.0001081800399223731,0.00011278286891274966,8.476073318850165e-06,state_us,anchor
wk inc rsv prop ed visits,2025-2026,US,1,0.00013737551387433335,0.00010980109557290178,0.44717522264786097,0.3574168931205615,0.4045977011494253,0.12390223473886895,-0.4597701149425288,0.16295915952595194,-0.7126436781609197,0.0867797061525374,-0.00011772503625713861,9.140847012639525e-06,1.6702176747100005e-05,0.0001019618237924046,0.00023839837338439517,3.5706634174866456e-05,state_us,anchor
wk inc rsv prop ed visits,2025-2026,US,2,0.00021139052786139998,0.0001134169774940654,0.3932034523528931,0.21096473696004728,0.29382716049382707,0.1515843775014921,-0.25925925925925924,0.07407407407407408,-0.7283950617283951,0.10691671651659734,-0.0001268073383481252,4.639423994154905e-06,-4.7340664516e-06,9.648822420473032e-05,0.00034293193266107526,6.490691241938396e-05,state_us,anchor
wk inc rsv prop ed visits,2025-2026,US,3,0.0002596069964379333,9.599353411618944e-05,0.408251303227349,0.1509569693501087,0.3019230769230768,0.10503239849554905,-0.1153846153846154,0.10175966581017656,-0.717948717948718,0.1554404570895147,-0.0001289676091759834,4.234693593847679e-06,-4.139517296246665e-05,8.117084627923365e-05,0.0004299697785764428,8.80124614492009e-05,state_us,anchor
wk inc rsv prop ed visits,2025-2026,US,all,0.00014910006886443333,0.00010881162048900939,0.36641213254835026,0.2674036183422212,0.33648648648648644,0.12368700073098027,-0.3603603603603604,0.032482443923099034,-0.6996996996996998,0.12231478591241027,-0.00011854173837452256,7.512524408351973e-06,-8.23776439573333e-06,9.362624278592318e-05,0.00027587957163471784,4.702508124188171e-05,state_us,anchor
wk inc rsv prop ed visits,2025-2026,states_dc,0,-3.785211302073331e-05,3.540374757712456e-05,-0.09447498439553215,0.08836411584367737,0.08693537178596249,0.11115563170317029,0.04563354181144308,0.043366639227238324,0.03914755617326845,0.02862165906153062,1.1220799369500005e-05,9.393418935636822e-06,-5.50886412949e-05,5.512587551664634e-05,6.0157289047024636e-06,1.063937945265033e-05,state_us,anchor
wk inc rsv prop ed visits,2025-2026,states_dc,1,-2.993215470323335e-05,3.7653831897316726e-05,-0.052058874990300374,0.06548864079745029,0.06336576326152422,0.0822763697070771,0.033124855223534866,0.030245962315949147,0.03289321287931438,0.02136641659967612,1.5107350281533333e-05,1.2915954674250903e-05,-4.974994480479998e-05,6.088722379440227e-05,4.710439820109189e-06,1.0449114227549799e-05,state_us,anchor
wk inc rsv prop ed visits,2025-2026,states_dc,2,-3.089639142896666e-05,4.157412263600146e-05,-0.03241181028998371,0.043613267230533326,0.032098765432098754,0.05660301228685045,0.039304610733182144,0.03270341292937854,0.05139833711262287,0.021789169017988816,1.9987311502199984e-05,1.478870299052386e-05,-5.074699251089997e-05,6.427377807364891e-05,-1.3671042024761992e-07,8.362685631118075e-06,state_us,anchor
wk inc rsv prop ed visits,2025-2026,states_dc,3,-3.470812856026661e-05,3.5590864727294635e-05,-0.03019771879415874,0.03096574114651842,0.008961276818419702,0.0444548733051441,0.03113553113553108,0.025072729163909225,0.07116692830978548,0.015724729671707703,2.477578161949999e-05,1.4666218016304823e-05,-4.9744486124833317e-05,5.58620248138804e-05,-9.739424054901848e-06,8.225921077174284e-06,state_us,anchor
wk inc rsv prop ed visits,2025-2026,states_dc,all,-3.335810829243333e-05,3.7453246011114944e-05,-0.04422861138417385,0.0496582434585497,0.04934550989345509,0.07316956661398953,0.037442922374429234,0.03289091524770671,0.04791476407914763,0.021515588939312377,1.751484315036666e-05,1.284453053625165e-05,-5.139278023973332e-05,5.897759710106951e-05,5.198287969080268e-07,8.749587360668031e-06,state_us,anchor
wk inc covid hosp,2024-2025,US,0,-134.3580952380953,245.50820209621725,-0.23010975837741787,0.4204721194054023,-0.038571428571428555,0.18769819457016093,0.03809523809523807,0.16246402008792366,-0.009523809523809526,0.016495721976846456,-30.80190476190478,40.66849043763722,-92.53714285714291,207.9282723264275,-11.01904761904762,9.287755966020733,residual2,anchor
wk inc covid hosp,2024-2025,US,1,-245.57117647058814,212.46899221926768,-0.31412765364418876,0.27178428249285036,0.06323529411764711,0.15246674150920914,0.1568627450980392,0.13584712216226488,0.009803921568627453,0.016980890270283114,-13.831960784313688,42.93684468615767,-220.50588235294126,184.52533523221285,-11.233333333333325,33.91343260697749,residual2,anchor
wk inc covid hosp,2024-2025,US,2,-313.41101010101,185.04277116036786,-0.3499670863308632,0.206626051358921,0.10202020202020194,0.15920871059471495,0.202020202020202,0.09257728676678466,0.0,0.0,11.423333333333327,52.155698531876865,-311.83434343434345,172.18924416626723,-13.000000000000002,52.969822827671024,residual2,anchor
wk inc covid hosp,2024-2025,US,3,-340.435625,130.92173633779504,-0.35566202129453667,0.13677736981049074,0.0734375,0.12665891389377215,0.15625,0.05412658773652741,0.0625,0.05412658773652741,41.449791666666705,60.86076408983835,-373.4437500000001,148.89799347518928,-8.441666666666672,72.86509536393838,residual2,anchor
wk inc covid hosp,2024-2025,US,all,-255.88400497512427,188.0857643857471,-0.3198587559732255,0.2351099617131084,0.04863184079601993,0.156759648147868,0.13681592039800997,0.10562623754011016,0.014925373134328254,0.012925752295290038,1.156791044776071,45.13275943885554,-246.0950248756219,179.0667029339933,-10.94577114427861,37.935404593339385,residual2,anchor
wk inc covid hosp,2024-2025,states_dc,0,-2.6575070028011196,3.2411695478407863,-0.1441581432356117,0.17581928605871744,0.01993464052287582,0.11556436605924787,0.017740429505135397,0.021408575891412113,0.017927170868347348,0.00976784076983897,-0.4902614379084973,0.6000750866279557,-1.8528851540616245,3.075979716157307,-0.3143604108309988,0.697226096442973,residual2,anchor
