name,coverage_50,coverage_95,dispersion,wis,under,over,sharpness,bias,combined_mean,combined_sd,rank
joint_trend__ed_transform_linear,21.66756198637517,46.29892178524016,344041.5395837793,14040752.275715992,13456501.68678422,240209.04934799086,0.024503070264889727,-0.9412809497603846,3.250612397196526,0.8423462529469381,151.0
joint_trend__encoder_conv,18.422234959870174,38.062993059047436,211181.5286293304,17090411.634710863,16649804.797426471,229425.308655062,0.012356725697607996,-0.9607948503370972,3.4992191088757765,1.2631554200547177,155.0
joint_trend__encoder_mlp,25.888007469925707,55.30599881802917,767340.0819352262,14301092.379145822,10900905.181830108,2632847.115380487,0.053656046796409694,-0.5781417144403802,4.043695804584969,1.2733930491460248,162.0
joint_trend__epochs_100,19.544246759021974,39.83146151180752,297760.56507223344,18674557.994422223,16786218.40043799,1590579.028912002,0.015944718218293012,-0.8137081143267042,4.648619866878437,0.4555328103083831,171.0
joint_trend__exchange_none,13.54145879663362,28.848209834478922,580.2158892513129,19301964.553197537,19301229.07247018,155.2648381056737,3.0059939632165324e-05,-0.9999538520774397,4.232929877951094,0.0218718956006849,170.0
joint_trend__exchange_none__head_sharing_pathogen,15.122819994812668,31.459744477382866,46459.565795515686,18675161.677617792,18526143.418138143,102558.69368413661,0.002487773150108657,-0.986528793832864,4.12331186812299,0.1729047982798325,165.0
joint_trend__exchange_none__head_sharing_shared,15.185871963198897,28.84819792505548,343132.6857030444,17882819.57603823,16531459.301187156,1008227.5891480265,0.019187840275636345,-0.8680528059925858,4.156878215328689,0.6577958911581969,167.0
joint_trend__exchange_pathogen_spatial,20.107367205713395,43.27623741075459,398337.1497734653,15451605.956612254,14154408.521406252,898860.2854325376,0.025779660113776307,-0.8578751149359479,3.4960172817074717,1.2576602257664329,154.0
joint_trend__exchange_pathogen_spatial__head_sharing_shared,27.582885154808206,57.967370918138506,964246.7300098953,8625439.481860569,6411682.682818423,1249510.0690322507,0.11179102607324774,-0.5984822714995914,2.3966888899501604,0.9384453834390174,145.0
joint_trend__exchange_shared_spatial,16.571642011441227,33.85986919675975,137290.70395544497,17788088.591203734,17507395.35310231,143402.53414597746,0.007718125713818159,-0.9761584405163624,3.8523511280005063,0.4510292440356866,161.0
joint_trend__exchange_shared_spatial__head_sharing_pathogen,19.91037376909689,40.317414676208124,282747.9510037093,17318766.137174707,15772312.233269718,1263705.952901276,0.016326102492763107,-0.8377390262938963,4.1278403324636175,0.5308708013711316,166.0
joint_trend__exchange_shared_spatial__head_sharing_shared,25.56772039050032,54.158267172305976,924624.9923840261,9904788.558644949,7329401.73752785,1650761.8287330724,0.09335131052111241,-0.5733226787399144,2.5290922903571387,0.811997137890511,147.0
joint_trend__exchange_target_spatial__head_sharing_pathogen,20.080338517181083,41.25288364191728,242587.5950793197,16458384.455649478,15753799.430968285,461997.42960187356,0.014739453664666915,-0.9291192609197662,3.593831706219625,0.5586465578082844,158.0
joint_trend__exchange_target_spatial__head_sharing_shared,31.68752873345102,59.59623775317934,1202325.3574348725,9846607.536535902,7724744.288736564,919537.8903644673,0.12210554274389798,-0.6911219293671789,2.516169012586729,1.957063211818047,146.0
joint_trend__head_sharing_pathogen,30.246383554670054,61.261467679217255,822805.4423331069,10486318.036922995,9167957.12915505,495555.4654348396,0.07846466599963461,-0.8270206599861009,2.5757521199079654,1.5587491693727251,148.0
joint_trend__head_sharing_shared,29.242668923219078,61.6196525755771,1010708.7314919942,7301343.064313294,5329582.9535954315,961051.379225869,0.13842778275027587,-0.5983189032332412,1.840504608510238,1.3534254413424505,143.0
joint_trend__location_embedding_8,15.800996251558153,33.70367441569818,151419.6194024775,17848110.772870652,17441783.33965267,254907.81381550652,0.00848378975956588,-0.9629520874535036,4.075019508434616,0.2715801906154493,163.0
joint_trend__lookback_26,18.698423991626285,39.261065106662016,387608.63228107104,18746755.006658267,15924427.349202365,2434719.0251748296,0.020676038714081687,-0.7195756449175554,4.946394686274634,2.163147727895408,172.0
joint_trend__lookback_8,19.359602660139824,40.233854224083814,279285.42276208824,16600955.03707386,15761155.795809956,560513.8185018146,0.016823455164981644,-0.9156486445124098,3.6760108099778126,0.5366023476924324,160.0
joint_trend__noise_global,13.724871231171218,29.326113324296276,744.8118159411197,19302003.610908583,19301084.588931363,174.21016127582897,3.85872798987659e-05,-0.999943361727594,4.22237074365745,0.0052795965393415,168.0
joint_trend__shared_factor_True,18.219829774470195,38.859656905247355,242359.36796258806,16822369.357876506,16074603.73149112,505406.2584227958,0.014406969839186861,-0.9255056253879347,3.621495971564004,1.2188937730550788,159.0
joint_trend__us_heads_separate,14.087906685835858,29.38149284254552,770.0721821225817,19302229.519997027,19301083.463255446,375.984559454585,3.989550436776178e-05,-0.9999211468654718,3.4399288111247714,0.1107026629813118,152.0
joint_trend__width_128,13.6294918903145,28.46591357200761,703.6264649454063,19302004.077137906,19301000.18161065,300.2690623094088,3.645354451970149e-05,-0.9999324337211642,4.228654128170384,0.0067968310844034,169.0
local_mlp,42.37033861130262,85.10584517612583,1246965.5358519743,4316311.3375946535,2079032.4603093835,990313.3414332966,0.28889610556843415,-0.25223368606278446,1.0044053518705325,0.0777649924847105,38.0
local_mlp__annual_calendar_False,42.58785840246586,85.46599513831488,1304710.5718995526,4140507.9967583325,1701798.6694682909,1133998.7553904888,0.31510881585569467,-0.1371329108704394,1.0451167731522923,0.1268688513393639,62.0
local_mlp__count_transform_log1p,38.97149784059406,81.13107854381589,1170292.329333456,4721819.959226318,2172429.804370706,1379097.8255221564,0.2478477238520571,-0.16801402546033098,1.0963524921923955,0.0533409071348541,76.0
local_mlp__count_transform_log1p__ed_transform_fourth_root,38.80776655800297,80.88031378968851,1572380.8986278272,5274038.973491704,1874351.3299275336,1827306.7449363426,0.298136002887143,-0.008920029834372829,1.3852573293740864,0.1502383065528479,135.0
local_mlp__count_transform_log1p__ed_transform_linear,38.54111385634622,81.15393860526062,1261680.4361592259,4719877.887093281,2088214.7838202468,1369982.6671138091,0.26731209288472224,-0.15217175822927023,1.146832488513344,0.1010757731257999,92.0
local_mlp__count_transform_sqrt,41.55295869188517,84.51943921981928,1397951.65711508,4762297.773664274,1729645.625351156,1634700.491198038,0.29354562094915965,-0.019936832736115136,1.15688397102455,0.0695991646423067,94.0
local_mlp__count_transform_sqrt__ed_transform_fourth_root,38.23854598717048,81.96306676223479,1532119.3309110643,5460617.973537106,1783866.642392211,2144632.000233831,0.2805761799005025,0.06606676379668706,1.3701179501467662,0.1559285820264019,132.0
local_mlp__count_transform_sqrt__ed_transform_linear,40.234196912184494,83.14980674355185,1331618.889725315,4697973.760484008,1821883.4507360002,1544471.4200226932,0.28344536551607413,-0.059049293345718186,1.1663015384277322,0.194779776805177,100.0
local_mlp__decoder_stochastic_trend,30.63550671209956,62.140375659591506,1068507.0605496187,7480751.906822497,5548324.423534958,863920.4227379202,0.14283417948603974,-0.6261942728677886,1.9959886265434448,0.7305543738410406,144.0
local_mlp__dynamics_False,40.173333244563416,83.24559119216892,1198252.1383276975,4396463.750303562,1841200.4837159873,1357011.1282598772,0.27254907725440974,-0.11013154729700168,1.029755854866071,0.1515435641180295,53.0
local_mlp__ed_transform_fourth_root,42.80245138368109,86.19818376886428,1473289.2446376623,4401703.381288649,1978175.7633325178,950238.373318468,0.3347088881319259,-0.23353172646383763,1.067429651585992,0.0703179435441895,71.0
local_mlp__ed_transform_linear,40.51979362224763,83.65019767320577,1305823.7699906349,4321275.182912643,1822445.897096507,1193005.515825501,0.30218482154392173,-0.14566079562809703,0.991997233742632,0.1224167473441193,34.0
local_mlp__encoder_conv,40.99422518404239,83.78235799801486,1172854.2323778574,4231049.88315915,1922190.5259798167,1136005.1248014765,0.27720170283176515,-0.1858133141628971,0.9630737316733604,0.0986396896919789,17.0
local_mlp__encoder_multiscale_conv,41.01683709857429,82.6504038920122,1136830.3307473978,4457169.511633967,1811234.0184456557,1509105.162440914,0.2550565617439674,-0.067784914891869,1.036805503308711,0.1020096202441301,58.0
local_mlp__epochs_100,43.31443406715646,85.46979014791283,1268144.84715588,4129006.1203023545,1720094.1256216934,1140767.1475247813,0.30713077438185477,-0.1403066406824531,0.9678121014519738,0.0091793644944131,18.0
local_mlp__exchange_joint_location_target,41.53975751560137,84.04568188268627,1198081.1164992186,4217102.3418106325,1922270.2191410607,1096751.0061703527,0.28410055516575794,-0.19575508158435337,1.0475014644277476,0.1649078521724534,64.0
local_mlp__exchange_joint_location_target__head_sharing_pathogen,40.421317679035624,81.89152759974591,1022517.7597350978,4150203.2415871513,2106033.3934498783,1021652.0884021757,0.24637775554916172,-0.26128390392587264,0.9106399651311944,0.0348403280319574,6.0
local_mlp__exchange_joint_location_target__head_sharing_target,40.91396394892985,82.6692555845947,1130845.4801899346,4246632.271853654,1708672.8830073567,1407113.9086563622,0.26629230123952335,-0.07101132263080646,1.0507671608071416,0.0421713690550705,66.0
local_mlp__exchange_pathogen_spatial,40.66263401852471,83.09186555621287,1126315.2994491712,4268916.824101075,1705068.7036550187,1437532.8209968847,0.2638410036687338,-0.06267067119876955,1.0365170332476354,0.0412562402423248,57.0
local_mlp__exchange_pathogen_spatial__head_sharing_pathogen,41.013004144412726,82.31730855386962,1115805.4966634018,4273355.651883568,1779172.0962070152,1378378.0590131509,0.2611075668770017,-0.09378906644880032,0.9958340069004676,0.075882937744103,36.0
local_mlp__exchange_pathogen_spatial__head_sharing_target,40.491931792818576,81.90994710387494,986242.9613103915,4055304.499867279,1991703.464946923,1077358.0736099647,0.24319825091868416,-0.22546898546505764,0.9507243102573169,0.0650141252712438,13.0
local_mlp__exchange_shared_spatial,41.27386349556779,83.8686272380334,1220905.307488227,4235316.75953405,1813720.1234108654,1200691.328634957,0.2882677676326966,-0.144742136086027,1.0110833073555658,0.1090143093926284,44.0
local_mlp__exchange_shared_spatial__head_sharing_pathogen,37.84195679790919,79.56749332676983,1071822.2880685953,4200733.594607171,1728363.14150856,1400548.1650300152,0.2551512167885586,-0.07803755441654,0.9373822994708856,0.077006528424935,9.0
local_mlp__exchange_shared_spatial__head_sharing_target,39.396814923825666,81.35849405809573,1204902.9155163814,4328466.159349052,1787136.0900009566,1336427.1538317138,0.27836717930990684,-0.10412670899499969,0.989056374512049,0.1186835742969011,31.0
local_mlp__exchange_target_spatial,39.34413689014511,81.88354833068277,1185022.948085094,4603425.592262981,2008750.1995379669,1409652.44463992,0.257421983767213,-0.13014172661006096,1.1812098196456382,0.0772692508800216,104.0
local_mlp__exchange_target_spatial__head_sharing_pathogen,40.731542158776115,82.41643333026516,1107795.8723980964,4151524.2367963945,1729157.5539424915,1314570.810455807,0.2668407575654548,-0.09986374156558184,1.0327621902020374,0.0838824647726017,55.0
local_mlp__exchange_target_spatial__head_sharing_target,40.15178977442301,81.40656074279462,1155397.7875952919,4559842.982267744,1600547.4816313763,1803897.7130410757,0.25338543280731096,0.04459588459525582,1.1315918422123783,0.1292548972957368,84.0
local_mlp__head_sharing_pathogen,40.06765907596367,82.04168962653053,1139750.840658679,4110876.680255108,1819816.1572826977,1151309.6823137312,0.2772525009404927,-0.1626189562386681,0.9802811204826616,0.0489682318827791,29.0
local_mlp__head_sharing_target,41.2579296639073,83.2807745321288,1157619.159022874,4101946.148799998,1778307.2140901634,1166019.7756869604,0.28221217856834346,-0.14926754671860434,0.9713288366916718,0.0671360960970511,24.0
local_mlp__location_embedding_8,41.012076033978786,83.32737922901786,1219442.4580131215,4174909.761512285,1599981.642907257,1355485.6605919064,0.29208833907140563,-0.058563177716872694,1.009595583432496,0.0789709055201894,42.0
local_mlp__lookback_26,38.664179600739445,80.55786285080195,1151209.6515835144,3960704.5792856617,2034671.9993529108,774822.9283492366,0.2906577929604491,-0.3180871094483133,0.9582393190116536,0.0188975605776063,15.0
local_mlp__lookback_8,43.725415497785534,86.79769608619475,1369894.757739829,4551973.949887467,1783451.5088142967,1398627.6833333413,0.3009452103243463,-0.08453998852310414,1.1629203052821415,0.2745387393281586,97.0
local_mlp__noise_global_local,42.39610399948053,84.82679349290756,1263575.9850001151,4322045.614070881,1693170.7432113967,1365298.8858593688,0.29235600403808987,-0.07586034175220319,1.007166836274542,0.1546356353486405,40.0
local_mlp__shared_factor_True,40.93585586369514,82.86587114907027,1261200.0053402793,4173264.458381232,1565074.0645217455,1346990.388519207,0.30220946166193513,-0.05225733431883467,1.022345171417907,0.0714663338692713,51.0
local_mlp__us_heads_separate,42.846182773229216,85.68845216879394,1232422.5143215384,4076492.821032409,1771325.9647413457,1072744.341969525,0.30232422045806917,-0.17136829462020212,1.040889464733356,0.1317238201580979,61.0
local_mlp__width_128,40.39936359620151,82.65164599195545,1311646.7479857397,4962410.30107434,1604168.040427372,2046595.512661228,0.26431646486421606,0.08915576209771939,1.377310749805704,0.291519205624773,134.0
pathogen_multiscale,39.56997499102288,80.58212511565435,1136468.86236966,4803072.997963945,1678530.4684787996,1988073.667115486,0.23661286489949596,0.06444690696308464,1.2296839878295238,0.1200845319268365,115.0
pathogen_multiscale__annual_calendar_False,38.76777920916066,80.16386284031162,1106391.8330734423,4886672.562192725,1919035.6849291795,1861245.0441901037,0.22641006103690878,-0.011826174150932735,1.30380532709132,0.2679553116459892,124.0
pathogen_multiscale__count_transform_log1p,38.61474749696078,79.61496529273143,1097192.0682853076,4996226.803481834,2131672.6283133198,1767362.1068832062,0.2196041355690023,-0.0729171304185447,1.2424704010839314,0.119177995737537,118.0
pathogen_multiscale__count_transform_sqrt,39.91362956866782,80.39156184733164,1073890.7420576275,5164602.259440756,1782006.3735873417,2308705.143795787,0.2079329032733515,0.10198244583997804,1.2361838157525602,0.0530793861308016,117.0
pathogen_multiscale__decoder_stochastic_trend,38.523621896714914,79.80164284359759,1266911.9335312757,5386239.43826694,2563361.5288354508,1555965.9759002137,0.23521270230402408,-0.187031335030916,1.3327226269660437,0.1530038143416535,129.0
pathogen_multiscale__dynamics_False,38.98572841037589,79.61975867507857,965300.5724113901,4828355.483519244,2120932.180452514,1742122.7306553395,0.19992326076782801,-0.07845516990001564,1.1370032472871858,0.1544679806398465,88.0
pathogen_multiscale__ed_transform_fourth_root,40.12565835377938,81.81558495937824,1206121.2811778544,5191470.985642602,1976755.2504178653,2008594.4540468825,0.232327462584973,0.006132983063388159,1.1632333433644224,0.1607558630569655,98.0
pathogen_multiscale__ed_transform_linear,37.829923205475666,79.31835136316317,1088939.332044365,4721731.876354355,2050991.0361618777,1581801.5081481126,0.23062286477925423,-0.09936810058262475,1.1448400941435988,0.249510408343245,90.0
pathogen_multiscale__encoder_conv,39.82294875565454,81.65403272101982,1079676.975435099,4640440.396184385,1872149.1844089008,1688614.236340385,0.2326669202179316,-0.03955119178331177,1.1344167446999165,0.1590511719900618,86.0
pathogen_multiscale__encoder_mlp,39.11203469988119,80.38035010001278,1011034.0104966214,4258983.988515409,1935571.2864219754,1312378.6915968116,0.23738854459724004,-0.14632423989046162,0.9935872697288148,0.017338997730864,35.0
pathogen_multiscale__epochs_100,40.31700681433129,81.42451807457996,1149956.2208139503,4555064.567060765,1691382.496499119,1713725.849747695,0.2524566235854654,0.004905167186904087,1.122980339277255,0.1556760156384905,82.0
pathogen_multiscale__exchange_joint_location_target,40.03840599127905,81.31640166512288,1160396.6599935298,4609161.203614466,1775154.554860061,1673609.9887608753,0.2517587493107328,-0.02203102942451987,1.1281195097968837,0.2417078785911579,83.0
pathogen_multiscale__exchange_none,42.79505746232687,84.52556992904496,1225799.4132364069,4171471.279295939,1738679.7370744299,1206992.1289851023,0.2938530151988239,-0.12745805316417422,0.9720087989736852,0.0977640590541566,25.0
pathogen_multiscale__exchange_shared_spatial,39.701287233480606,81.30511238089122,1190292.776811167,4636358.865935554,1660711.8003442734,1785354.2887801132,0.2567300787599801,0.026883701637424613,1.069431928879514,0.1201668404291628,72.0
pathogen_multiscale__exchange_target_spatial,41.25263260758689,82.15936720932613,1111381.1053048207,4176052.479381945,1926020.2722937025,1138651.1017834218,0.26613197769710617,-0.18854388789357626,0.9681019295103876,0.1036837061711582,20.0
pathogen_multiscale__head_sharing_shared,41.104733784131376,82.70467181605642,1336094.7662378177,4780538.753645503,1385816.4240949221,2058627.5633127629,0.2794862326383088,0.1407396056992058,1.293763456285035,0.1578350500101984,122.0
pathogen_multiscale__head_sharing_target,39.00402023768705,80.49770558254114,1218234.3694271245,5223818.605683028,1538902.2560549972,2466681.9802009063,0.23320763245909784,0.1776056548243408,1.464370553630306,0.2857314796521206,140.0
pathogen_multiscale__location_embedding_8,37.703845470959145,78.86957705964235,1029759.6758611061,4770375.988633671,2122528.469763009,1618087.843009556,0.2158655163271626,-0.10574441678294935,1.216261813434257,0.1474440345938847,111.0
pathogen_multiscale__lookback_26,39.64458904226049,79.80889664042272,1136592.0901665199,4795565.658153257,1680553.4449947842,1978420.1229919533,0.23700897270254756,0.062112939167196325,1.172935320609266,0.1626684069587156,102.0
pathogen_multiscale__lookback_8,39.99325625589228,80.16890740308152,1150743.9204518385,5158868.17283733,1772785.725903358,2235338.526482133,0.2230613153696734,0.08966168257879234,1.4009771420405956,0.1388852856272606,136.0
pathogen_multiscale__noise_global,38.63710528206439,79.34256329049424,1084268.0393063894,4677447.375525003,1894205.9707703243,1698973.365448289,0.23180764041940496,-0.041739134542400295,1.1659674681614598,0.1073213488251996,99.0
pathogen_multiscale__shared_factor_True,38.800372063998836,80.61692936890864,1159731.375334337,4926162.43979499,2014783.9905935929,1751647.0738670605,0.23542288536116582,-0.05341620783773489,1.2090328367048464,0.0539481141324156,109.0
pathogen_multiscale__us_heads_separate,39.52834000758041,80.74427847988972,1094558.6226285237,4602815.5440508,1922299.0661346596,1585957.8552876157,0.23780197406416934,-0.07307292843437305,1.153490801796006,0.1320395484773639,93.0
pathogen_multiscale__width_128,39.08947069237897,79.48539108431648,1149374.2712507788,4580056.187195327,1521394.4562386011,1909287.4597059467,0.250952002393363,0.08469175652294307,1.2155577408872988,0.1193355416719891,110.0
